,treatments,exclude_female,exclude_male,exclude_nestling,exclude_fitness
174,RFIDON*CORT,yes,yes,yes,yes
24,SAM.2.031,no,no,no,no
243,SAM.2.031,no,no,no,no
47,SAM.2.037,no,no,no,no
253,SAM.2.037,no,no,no,no
191,SAM.2.041,no,no,no,no
317,SAM.2.041,no,no,no,no
72,SAM.2.072,no,no,no,no
263,SAM.2.072,no,no,no,no
136,SAM.3.027,no,no,no,no
287,SAM.3.027,no,no,no,no
113,SAM.3.041,no,no,no,no
280,SAM.3.041,no,no,no,no
104,SAM.3.073,no,no,no,no
276,SAM.3.073,no,no,no,no
255,SAM.7.041,no,no,no,no
328,SAM.7.067,no,no,no,no
135,Stess,yes,yes,yes,yes
197,STRCTRL.SP,no,no,no,no
10,Stress,yes,yes,yes,yes
85,STRON.MS,no,no,no,no
150,swap,no,no,no,no
118,Tag,no,no,no,no
269,TeresaNestlingCort,yes,yes,yes,yes
4,transdermal_control,no,no,no,no
325,Transfer,no,no,no,no
66,TRANSMIT,no,no,no,no
115,U/C,no,no,no,no
131,Unknown,no,no,no,no
149,unknown,no,no,no,no
278,Unknown,no,no,no,no
258,Unknown_TeresaNestlingCort,yes,yes,yes,yes
151,unswap,no,no,no,no
50,UUU,no,no,no,no
54,VIDEO,no,no,no,no
55,VLECKLONG,no,no,no,no
172,XRY,no,no,no,no
94,Year2,no,no,no,no
273,Year2,no,no,no,no
80,COLLECT,yes,yes,no,no
144,SAM.3.071,yes,yes,no,no
145,BC,yes,yes,no,no
296,SAM.3.071,yes,yes,no,no
48,OTHER,no,no,no,no
3,transdermal_antibiotic,yes,yes,yes,yes
26,bsenl,yes,yes,yes,yes
33,DLY,yes,yes,yes,yes
45,bsred/diet,yes,yes,yes,yes
46,DIET,yes,yes,yes,yes
49,P,yes,yes,yes,yes
58,E,yes,yes,yes,yes
60,JPM,yes,yes,yes,yes
71,DMYTHRM.FB,yes,yes,yes,yes
88,bsred,yes,yes,yes,yes
100,CLP,yes,yes,yes,yes
101,ADV,yes,yes,yes,yes
111,diet1,yes,yes,yes,yes
116,bsenl/diet,yes,yes,yes,yes
128,diet2,yes,yes,yes,yes
182,D/X,yes,yes,yes,yes
215,CLPCORT.SP,yes,yes,yes,yes
262,Cool,yes,yes,yes,yes
277,MAN.4.085,yes,yes,yes,yes
326,BSEnl,yes,yes,yes,yes
335,BSRed,yes,yes,yes,yes
5,,no,no,no,no
28,TUNNELMAN.2.037,no,no,no,no
29,TUNNEL,no,no,no,no
44,DIETMAN.2.037,yes,yes,yes,yes
51,TUNNELSAM.2.037,no,no,no,no
61,TUNNELCONTROL,no,no,no,no
73,BLOODF.GPSAM.2.072,no,no,no,no
77,long_control,no,no,no,no
102,DIETSAM.2.037,no,no,no,no
103,BLOODSAM.2.037,no,no,no,no
105,TUNNELSAM.3.073,no,no,no,no
106,BLOODF.MHSAM.3.073,no,no,no,no
110,TUNNELOBS.2.037,no,no,no,no
112,TRANSMITSAM.2.072,no,no,no,no
114,TUNNELSAM.3.041,no,no,no,no
124,RFIDOFF,no,no,no,no
